SKU,ProductName,FinalURL,Price,,,,
SW-0002,"Planet Waves Banana Speaker Cable, 25ft",http://sewelldirect.com/Planet-Waves-Banana-Speaker-Cable-25ft.asp,18.95,,,,
SW-0002-10,"Planet Waves Banana Speaker Cable, 10ft",http://sewelldirect.com/planet-waves-banana-speaker-cable-10ft.asp,29.95,,,,
SW-0003,Sterling's test product,http://sewelldirect.com/Year2000.asp,205,,,,
SW-0008,"Eco-Friendly HDMI to DVI Cable, 4 ft.  ",http://sewelldirect.com/Environmental-Friendly-HDMI-to-DVI-Cable-4-ft-.asp,21.95,,,,
SW-0008-15,"Eco-Friendly HDMI to DVI Cable, 15 ft.",http://sewelldirect.com/Environmentally-Friendly-HDMI-to-DVI-Cable-15-ft.asp,19.95,,,,
SW-0008-50,"Eco-Friendly HDMI to DVI Cable, 50 ft.",http://sewelldirect.com/Environmentally-Friendly-HDMI-to-DVI-Cable-50-ft.asp,95.95,,,,
SW-0009,ADC to VGA Adapter ,http://sewelldirect.com/ADC-to-VGA-Adapter-.asp,49.95,,,,
SW-0012,Enhance R14HDS Rackmount SATA RAID,http://sewelldirect.com/Enhance-R14HDS-Rackmount-SATA-RAID.asp,3893.95,,,,
SW-0014,"Game Boy Advance Movie Player, Compact Flash Card",http://sewelldirect.com/Game-Boy-Advance-Movie-Player.asp,27.95,,,,
SW-0015,"Level One FreeCon 802.11G  Outdoor WAP, 108 Mbps",http://sewelldirect.com/Level-One-FreeCon-80211-SuperG-Outdoor-WAP-108-Mbps.asp,269.95,,,,
SW-0016,DVDO Pair of 19 inch Rackmount Brackets for iScan models,http://sewelldirect.com/DVDO-Pair-of-19-inch-Rackmount-Brackets.asp,29,,,,
SW-1101,"FireWire Active Extension Cable, 14.5 ft",http://sewelldirect.com/firewireextension.asp,19.95,,,,
SW-1102-03,"FireWire 6p to 4p Cable, 3 foot",http://sewelldirect.com/FireWireCable6pto4p3.asp,6.45,,,,
SW-1102-06,"FireWire 6p to 4p (Mini DV) Cable, 6 foot",http://sewelldirect.com/FireWireCable6pto4p6.asp,0.88,,,,
SW-1102-10,"FireWire 6p to 4p Cable, 10 foot",http://sewelldirect.com/FireWireCable6pto4p10.asp,7.95,,,,
SW-1102-15,"FireWire 6p to 4p Cable, 15 foot",http://sewelldirect.com/FireWireCable6pto4p15.asp,8.45,,,,
SW-1103-06,"FireWire 4p to 4p Cable, 6 foot",http://sewelldirect.com/FireWire-4p-to-4p-Cable-6-foot.asp,6.95,,,,
SW-1103-10,"FireWire 4p to 4p Cable, 10 foot",http://sewelldirect.com/FireWireCable4pto4p10.asp,7.95,,,,
SW-1103-15,"FireWire 4p to 4p Cable, 15 foot",http://sewelldirect.com/FireWireCable4pto4p15.asp,8.45,,,,
SW-1104-03,"Firewire Cable (IEEE 1394), 6-pin to 6-pin, 3 ft.",http://sewelldirect.com/Firewire-Cable-IEEE-1394-6-pin-3-ft.asp,0.99,,,,
SW-1104-06,"Firewire Cable (IEEE 1394), 6-pin to 6-pin, 6 ft.",http://sewelldirect.com/FireWireCable6pto6p6Foot.asp,1.79,,,,
SW-1104-10,"Firewire Cable (IEEE 1394), 6-pin to 6-pin, 10 ft.",http://sewelldirect.com/FireWireCable6pto6p10.asp,2.19,,,,
SW-1104-15,"Firewire Cable (IEEE 1394), 6-pin to 6-pin, 15 ft.",http://sewelldirect.com/FireWireCable6pto6p15Foot.asp,1.85,,,,
SW-1105-06,"FireWire 800 9p to 6p Cable, 6 foot",http://sewelldirect.com/FireWire8009pto6p3.asp,13.95,,,,
SW-1105-10,"FireWire 800 9p to 6p Cable, 10 foot",http://sewelldirect.com/FireWire8009pto6p10.asp,15.95,,,,
SW-1106-06,"FireWire 800 9p to 9p Cable, 6 foot",http://sewelldirect.com/FireWire8009pto9p3.asp,10.95,,,,
SW-1106-10,"FireWire 800 9p to 9p Cable, 10 foot",http://sewelldirect.com/FireWire8009pto9p10.asp,16.95,,,,
SW-1107-06,"FireWire 800 9p to 4p Cable, 6 foot",http://sewelldirect.com/FireWire8009pto4p3.asp,7.95,,,,
SW-1107-10,"FireWire 800 9p to 4p Cable, 10 foot",http://sewelldirect.com/FireWire8009pto4p10.asp,8.95,,,,
SW-1109,Computer Power Cord,http://sewelldirect.com/computerpowercord.asp,2.95,,,,
SW-1110,"Floppy Drive Round Cable, 18 inch",http://sewelldirect.com/18inchblackfloppyroundcable.asp,7.95,,,,
SW-1112,"CD-ROM Audio Cable, 24 inch",http://sewelldirect.com/cdromaudiocable.asp,3.95,,,,
SW-1113,"USB 2.0 I-Rocks Hard Drive Enclosure (Aluminum), 3.5 inch ",http://sewelldirect.com/i-rocks3.5inchharddriveenclosure.asp,25.95,,,,
SW-1115,"USB 2.0 Toshiba Hard Drive Enclosure, 1.8 inch ",http://sewelldirect.com/i-rocks1.8inchharddriveenclosure.asp,24.95,,,,
SW-1116,XPad Slim Laptop Cooler and Heatshield,http://sewelldirect.com/xpadlaptopheatshield.asp,24.95,,,,
SW-1117,"Keyboard VGA Mouse (KVM) Cat5 Extender, 500 ft.",http://sewelldirect.com/KVMcat5extender.asp,118.95,,,,
SW-1118,Nexus Notebook Computer Cooler,http://sewelldirect.com/nexusbotebookcooler.asp,46.95,,,,
SW-1119,HDMI Male to DVI-D Female Adapter,http://sewelldirect.com/hdmitodviemtofadaptor.asp,14.95,,,,
SW-1120,HDMI Female to DVI-D Male Adapter,http://sewelldirect.com/HDMItoDVIFemaletoMaleAdaptor.asp,9.95,,,,
SW-1121-03,"HDMI Male to DVI-D Male Cable, 3 ft",http://sewelldirect.com/HDMItoDVICable1m.asp,12.95,,,,
SW-1121-06,"HDMI Male to DVI-D Male Cable, 6 ft",http://sewelldirect.com/HDMItoDVICable2m.asp,11.2631,,,,
SW-1121-10,"HDMI Male to DVI-D Male Cable,10 ft",http://sewelldirect.com/HDMItoDVICable3m.asp,19.95,,,,
SW-1121-18,"HDMI Male to DVI-D Male Cable, 18 ft",http://sewelldirect.com/hdmi-dvi-cable-m-m-18.asp,29.95,,,,
SW-1121-21,"HDMI Male to DVI-D Male Cable, 21 ft",http://sewelldirect.com/hdmi-dvi-cable-m-m21.asp,38.95,,,,
SW-1121-24,"HDMI Male to DVI-D Male Cable, 25 ft",http://sewelldirect.com/hdmi-dvi-cable-m-m-24.asp,44.95,,,,
SW-1123,20 GB Pocket Portable Hard Drive (Black),http://sewelldirect.com/20gigirocksportablehddblack.asp,17.95,,,,
SW-1124,"USB Adapter Kit, 9 pc with case",http://sewelldirect.com/USBAdaptersKit9pcwithcase.asp,18.95,,,,
SW-1125,USB Bluetooth Printer Adapter,http://sewelldirect.com/USBBluetoothPrinterAdapter.asp,64.95,,,,
SW-1126,Labtec Desktop Microphone,http://sewelldirect.com/labtechdesktopmic.asp,7.95,,,,
SW-1127,"CAT5e Network Cable Kit w/Crimper and Tester, 1000 ft",http://sewelldirect.com/genicacat5ecable1000.asp,84.95,,,,
SW-1128,USB 2.0 4-port Slim Profile Portable Hub,http://sewelldirect.com/usb204portslimprofilehub.asp,9.99,,,,
SW-1129,Iomega Monitor Rearview Mirror,http://sewelldirect.com/IomegaMonitorRearviewMirror.asp,9.95,,,,
SW-1130,Anti-Static Wrist Strap ,http://sewelldirect.com/AntiStaticWristStrap.asp,6.95,,,,
SW-1131,"Hawking USB Internet/LAN Print Server, 10/100M",http://sewelldirect.com/hawkinginternetprintserver.asp,61.95,,,,
SW-1132,"USB 2.0 SanDisk Cruzer Mini Flash Drive, 1.0 GB",http://sewelldirect.com/SanDiskCruzerMini1GBUSBFlashDrive.asp,99.95,,,,
SW-1133,Finedrive 300 GPS In-Car Navigation System,http://sewelldirect.com/finedrive300gps.asp,499.95,,,,
SW-1134,USB (Female) to PS/2 (Male) Keyboard Adapter,http://sewelldirect.com/USBKeyboardtoPS2computeradapter.asp,6.95,,,,
SW-1135,USB Type B Male to Type B Male Adapter,http://sewelldirect.com/USBBTypeMaletoBTypeMaleAdapter.asp,6.95,,,,
SW-1136,USB Type B Male to Type B Female Adapter,http://sewelldirect.com/USBBTypeMaletoBTypeFemaleAdapter.asp,6.95,,,,
SW-1137,USB Type A Male to Female Adapter,http://sewelldirect.com/USBATypeMaletoFemaleadapter.asp,6.95,,,,
