g_id,title,g_brand,link,description
SW-30525-YE,PureRun Cat6 Yellow Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat6-yellow-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30525-WH,PureRun Cat6 White Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat6-white-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30525-IV,PureRun Cat6 Ivory Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat6-ivory-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30525-GR,PureRun Cat6 Green Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat6-green-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30525-BK,PureRun Cat6 Black Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat6-black-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30524-YE,PureRun Cat5e Yellow Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat5e-yellow-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30524-RD,PureRun Cat5e Red Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat5e-red-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30524-OG,PureRun Cat5e Orange Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat5e-orange-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30524-BU,PureRun Cat5e Blue Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat5e-blue-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
SW-30524-GN,PureRun Cat5e Green Keystone Jack,PureRun,https://sewelldirect.com/purerun-cat5e-green-keystone-jack,This keystone jack features either top or side rear punch down a high temperature thermoplastic housing and high quality phosphor/bronze contacts with gold plating.
