Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate
mos spring micro usb cable deep grey 3 ft,0.01,26.88,2,1,1,2688,1,0.01,0,0,2
sw 30550 10,0.07,0,0,1,1,0,1,0.07,0,0,0
30 ft micro usb cable,0.66,0,0,4,40,0,0.1,0.16,0,0,0
mos lightning to usb cable,0.11,0,0,1,2,0,0.5,0.11,0,0,0
lighting cable with spring,0.13,0,0,1,1,0,1,0.13,0,0,0
aluminum lightning cable,0.01,25.48,2,1,1,2548,1,0.01,0,0,2
aluminum lightning cable,0.19,0,0,1,6,0,0.17,0.19,0,0,0
mos charger cord android,0.17,0,0,1,1,0,1,0.17,0,0,0
10 ft steel usb cable,0.2,0,0,1,1,0,1,0.2,0,0,0
unbreakable iphone charger steel,0.01,0,0,1,2,0,0.5,0.01,0,0,0
spring loaded micro usb cable,0.18,0,0,1,2,0,0.5,0.18,0,0,0
indestructible micro usb cable,0.75,0,0,6,127,0,0.05,0.12,0,0,0
braided aux cord 6ft,0.15,0,0,1,1,0,1,0.15,0,0,0
braided aux cord 6ft,0.01,0,0,1,1,0,1,0.01,0,0,0
unbreakable iphone 5 charger,0.17,0,0,1,12,0,0.08,0.17,0,0,0
most durable android charger,0.38,0,0,2,6,0,0.33,0.19,0,0,0
mos cable,0.38,0,0,2,1,0,2,0.19,0,0,0
mos cable,0.01,0,0,1,3,0,0.33,0.01,0,0,0
best aux cable,0,0,0,0,16,0,0,0,0,0,0
mos spring lightning cable aluminum heads with spring relief deep grey 3 ft,0.18,20.64,2,2,6,114.67,0.33,0.09,0,0.09,1
mos spring light ing,0.01,0,0,1,1,0,1,0.01,0,0,0
metal micro usb cable amazon,0.07,0,0,1,1,0,1,0.07,0,0,0
the best durable aux cable,0.2,0,0,1,4,0,0.25,0.2,0,0,0
magnetic cable keeper,0.27,0,0,2,10,0,0.2,0.14,0,0,0
mos spring lightning cable sale,0.01,0,0,1,1,0,1,0.01,0,0,0
mos spring lightning cable sale,0.04,0,0,1,5,0,0.2,0.04,0,0,0
3.5 mm aux cord 10ft,0.19,0,0,1,2,0,0.5,0.19,0,0,0
