Search term,Cost,Total conv. value,Conversions,Clicks,Impressions,Conv. value / cost,CTR,Avg. CPC,Avg. position,Cost / conv.,Conv. rate,View-through conv.
10 awg pv solar cable,0.34,0,0,1,2,0,0.5,0.34,0,0,0,0
10 awg pv wire,1.74,0,0,4,39,0,0.1,0.44,0,0,0,0
10 awg solar panel wire,0.17,0,0,1,1,0,1,0.17,0,0,0,0
10 awg solar wire,0.44,0,0,1,6,0,0.17,0.44,0,0,0,0
10 ga solar wire,0.45,0,0,1,1,0,1,0.45,0,0,0,0
10 gauge solar wire,0.84,0,0,2,19,0,0.11,0.42,0,0,0,0
10 gauge wire solar,0.39,0,0,1,2,0,0.5,0.39,0,0,0,0
10 pv wire,0.45,0,0,1,21,0,0.05,0.45,0,0,0,0
10 solar wire,0.48,0,0,1,4,0,0.25,0.48,0,0,0,0
100 copper cable utp cat6 box 1000 ft,0.04,0,0,1,1,0,1,0.04,0,0,0,0
100 copper cable utp cat6 box 1000ft,0.03,0,0,1,1,0,1,0.03,0,0,0,0
100 feet 14 gauge oxygen free copper speaker wire,0.63,0,0,1,1,0,1,0.63,0,0,0,0
100 feet 14 gauge speaker wire,0.51,0,0,1,2,0,0.5,0.51,0,0,0,0
100 feet white outdoor cat6 cable,0.57,0,0,1,1,0,1,0.57,0,0,0,0
100 foot rg59,0.49,0,0,1,1,0,1,0.49,0,0,0,0
100 ft 14 gauge ofc,0.19,0,0,1,1,0,1,0.19,0,0,0,0
100 ft 14 gauge speaker wire,0.99,0,0,2,8,0,0.25,0.5,0,0,0,0
100 ft cat6e cable spool,0.36,0,0,1,2,0,0.5,0.36,0,0,0,0
100 ft hd camera wire,0.21,0,0,1,1,0,1,0.21,0,0,0,0
100 ft security camera cable,0.44,0,0,1,18,0,0.06,0.44,0,0,0,0
100 silar panel cable,0.26,0,0,1,2,0,0.5,0.26,0,0,0,0
1000 cat 5e,0.47,0,0,1,1,0,1,0.47,0,0,0,0
1000 cat5e,1,0,0,2,28,0,0.07,0.5,0,0,0,0
1000 cat5e,0.47,0,0,1,26,0,0.04,0.47,0,0,0,0
1000 cat5e ethernet cable,0.63,0,0,1,1,0,1,0.63,0,0,0,0
1000 cat6 ebay,0.46,0,0,1,4,0,0.25,0.46,0,0,0,0
1000 directv cable,0.44,0,0,1,2,0,0.5,0.44,0,0,0,0
1000 ethernet cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
1000 feeet coax cable,0.35,0,0,1,1,0,1,0.35,0,0,0,0
1000 feet coax,0.56,0,0,2,5,0,0.4,0.28,0,0,0,0
1000 feet coax cable,0.3,0,0,1,4,0,0.25,0.3,0,0,0,0
1000 feet coaxial cable,1.57,0,0,4,20,0,0.2,0.39,0,0,0,0
1000 feet of coax cable,1.88,0,0,5,13,0,0.38,0.38,0,0,0,0
1000 feet of coax cable,0.92,0,0,3,15,0,0.2,0.31,0,0,0,0
1000 feet of coax cable cost,0.46,0,0,1,1,0,1,0.46,0,0,0,0
1000 feet of coaxial cable,0.32,0,0,1,4,0,0.25,0.32,0,0,0,0
1000 feet of rg 6,0.38,0,0,1,1,0,1,0.38,0,0,0,0
1000 feet of rg59,0.22,0,0,1,1,0,1,0.22,0,0,0,0
1000 feet of rg6 wire,0.48,0,0,1,1,0,1,0.48,0,0,0,0
1000 feet rg 59,0.5,0,0,1,1,0,1,0.5,0,0,0,0
1000 feet rg 59 coaxial cable,0.48,0,0,1,2,0,0.5,0.48,0,0,0,0
1000 feet rg 6 cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
1000 feet rg59,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
1000 feet rg6,0.34,0,0,1,3,0,0.33,0.34,0,0,0,0
1000 feet rg6,0.61,0,0,3,6,0,0.5,0.2,0,0,0,0
1000 feet rg6 cable,1.2,0,0,3,20,0,0.15,0.4,0,0,0,0
1000 feet rg6 coax cable,0.28,0,0,1,1,0,1,0.28,0,0,0,0
1000 feet solid copper coaxial xable,0.33,0,0,1,1,0,1,0.33,0,0,0,0
1000 feet spool,0.31,0,0,1,1,0,1,0.31,0,0,0,0
1000 foot coax cable,0.4,0,0,1,3,0,0.33,0.4,0,0,0,0
1000 foot long cable cord,0.42,0,0,2,1,0,2,0.21,0,0,0,0
1000 foot roll rg6 cable,0.32,0,0,1,1,0,1,0.32,0,0,0,0
1000 foot spool coaxial cable,0.25,0,0,1,1,0,1,0.25,0,0,0,0
1000 ft 12 awg pure copper speaker wire,0.09,0,0,1,2,0,0.5,0.09,0,0,0,0
1000 ft black rg6,0.48,0,0,1,3,0,0.33,0.48,0,0,0,0
1000 ft bulk siamese cable,0.49,0,0,1,2,0,0.5,0.49,0,0,0,0
1000 ft cat5e,0.48,61.93,1,1,23,129.02,0.04,0.48,0,0.48,1,0
1000 ft cat6,0.48,0,0,1,5,0,0.2,0.48,0,0,0,0
1000 ft cat6 ethernet cable,1.12,181.05,5,2,13,161.65,0.15,0.56,0,0.22,2.5,0
1000 ft cctv cables,0.44,0,0,1,1,0,1,0.44,0,0,0,0
1000 ft coax cable,0.49,0,0,1,2,0,0.5,0.49,0,0,0,0
1000 ft coax cable,1.6,0,0,4,81,0,0.05,0.4,0,0,0,0
1000 ft coax cable roll,0.34,0,0,1,1,0,1,0.34,0,0,0,0
1000 ft coaxial cable,0.46,0,0,1,16,0,0.06,0.46,0,0,0,0
1000 ft coaxial cable,2.7,0,0,7,45,0,0.16,0.39,0,0,0,0
1000 ft coaxial cable rg6,0.39,0,0,1,4,0,0.25,0.39,0,0,0,0
1000 ft coaxial cable rg6,1.44,0,0,3,28,0,0.11,0.48,0,0,0,0
1000 ft coaxl rg6,0.54,0,0,2,1,0,2,0.27,0,0,0,0
1000 ft direct burial rg59,0.24,0,0,1,1,0,1,0.24,0,0,0,0
1000 ft of cat6 cable with red casing,0.3,0,0,1,1,0,1,0.3,0,0,0,0
1000 ft of coax cable,0.36,0,0,1,1,0,1,0.36,0,0,0,0
1000 ft rg 59,0.47,0,0,1,1,0,1,0.47,0,0,0,0
1000 ft rg 6 cable,0.66,0,0,2,2,0,1,0.33,0,0,0,0
1000 ft rg59 direct burial,0.22,47.16,1,1,1,214.36,1,0.22,0,0.22,1,0
1000 ft rg59 direct burial cable,0.41,0,0,1,2,0,0.5,0.41,0,0,0,0
1000 ft rg6,0.49,0,0,1,2,0,0.5,0.49,0,0,0,0
1000 ft rg6,3.43,0,0,8,46,0,0.17,0.43,0,0,0,0
1000 ft rg6 cable,0.48,0,0,1,4,0,0.25,0.48,0,0,0,0
1000 ft rg6 cable,2.84,21.64,1,7,78,7.62,0.09,0.41,0,2.84,0.14,0
1000 ft rg6 coaxial cable,0.46,0,0,1,5,0,0.2,0.46,0,0,0,0
1000 ft rg6 solid copper coaxial cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
1000 ft roll of coaxal cable,0.21,0,0,1,1,0,1,0.21,0,0,0,0
1000 ft roll rg6,0.17,0,0,1,2,0,0.5,0.17,0,0,0,0
1000 ft solid copper rg6,0.44,0,0,1,1,0,1,0.44,0,0,0,0
1000 ft spool cat6,0.61,0,0,1,3,0,0.33,0.61,0,0,0,0
1000 ft spool of coax,0.12,0,0,1,1,0,1,0.12,0,0,0,0
1000 ft spool rg6,0.38,0,0,1,1,0,1,0.38,0,0,0,0
1000 ft spools of coaxial cable,0.48,0,0,1,2,0,0.5,0.48,0,0,0,0
1000 plenum at5e,0.01,0,0,1,4,0,0.25,0.01,0,0,0,0
1000 rg 6,0.47,0,0,1,1,0,1,0.47,0,0,0,0
1000 rg59 cable,0.84,0,0,2,2,0,1,0.42,0,0,0,0
1000 rg6,2.22,0,0,5,39,0,0.13,0.44,0,0,0,0
1000 rg6 coaxial cable,0.46,0,0,1,1,0,1,0.46,0,0,0,0
1000 rg6 coaxial cable,1.27,0,0,3,18,0,0.17,0.42,0,0,0,0
1000 sewell siamese rg59,0.06,0,0,1,1,0,1,0.06,0,0,0,0
1000 siamese cable,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
1000 speaker wire,0.09,0,0,1,12,0,0.08,0.09,0,0,0,0
1000 spool coax,0.28,0,0,1,1,0,1,0.28,0,0,0,0
1000 spool rg6,0.3,0,0,1,1,0,1,0.3,0,0,0,0
1000ft 24awg cat5e stp,0.42,0,0,1,1,0,1,0.42,0,0,0,0
1000ft black cat5,0.62,0,0,1,1,0,1,0.62,0,0,0,0
1000ft black cat5e cable,0.41,0,0,1,1,0,1,0.41,0,0,0,0
1000ft cat 6,0.58,0,0,2,12,0,0.17,0.29,0,0,0,0
1000ft cat5e,1.08,0,0,2,70,0,0.03,0.54,0,0,0,0
1000ft cat5e cmr,0.64,0,0,1,1,0,1,0.64,0,0,0,0
1000ft cat6,0.95,0,0,2,45,0,0.04,0.48,0,0,0,0
1000ft cat6 plenum rated utp white,0.45,0,0,1,6,0,0.17,0.45,0,0,0,0
1000ft coax,0.1,0,0,1,1,0,1,0.1,0,0,0,0
1000ft coax cable,0.93,0,0,2,11,0,0.18,0.46,0,0,0,0
1000ft coaxial cable,0.46,0,0,1,2,0,0.5,0.46,0,0,0,0
1000ft of rj 6,0.11,0,0,1,1,0,1,0.11,0,0,0,0
1000ft rg 59,0.28,0,0,1,2,0,0.5,0.28,0,0,0,0
1000ft rg59,0.45,0,0,1,2,0,0.5,0.45,0,0,0,0
1000ft rg59 cable,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
1000ft rg6,2.28,0,0,6,27,0,0.22,0.38,0,0,0,0
1000ft rg6 95 braid,0.22,0,0,1,2,0,0.5,0.22,0,0,0,0
1000ft rg6 cable,0.37,0,0,1,2,0,0.5,0.37,0,0,0,0
1000ft rg6 coaxial cable,0.39,0,0,1,1,0,1,0.39,0,0,0,0
1000ft roll coax cable,0.31,0,0,1,1,0,1,0.31,0,0,0,0
1000ft solid copper rg6,0.88,0,0,2,2,0,1,0.44,0,0,0,0
1000ft spool,0.45,0,0,1,1,0,1,0.45,0,0,0,0
1000ft spool coax cable,0.25,0,0,1,2,0,0.5,0.25,0,0,0,0
1000ft spool rg6,0.05,0,0,1,1,0,1,0.05,0,0,0,0
100ft cable for camera,0.48,0,0,1,1,0,1,0.48,0,0,0,0
100ft cad 5 spool,0.42,0,0,1,1,0,1,0.42,0,0,0,0
100p ft rg6,0.51,0,0,1,1,0,1,0.51,0,0,0,0
12 gauge non lethal in fort worth,0.45,0,0,1,2,0,0.5,0.45,0,0,0,0
12 gauge outdoor speaker wire 1000,0.48,0,0,1,2,0,0.5,0.48,0,0,0,0
12 gauge pure copper speaker wire,0.41,0,0,1,4,0,0.25,0.41,0,0,0,0
12 gauge speaker wire 500 feet,1.43,0,0,3,15,0,0.2,0.48,0,0,0,0
12 guage speaker wire solid copper,0.39,0,0,1,1,0,1,0.39,0,0,0,0
14 2 outdoor speaker wire 1000,1.07,0,0,3,6,0,0.5,0.36,0,0,0,0
14 2 solid copper wire,0.49,0,0,1,2,0,0.5,0.49,0,0,0,0
14 2 speaker cable,0.46,0,0,1,7,0,0.14,0.46,0,0,0,0
14 2 speaker wire,2.46,0,0,5,210,0,0.02,0.49,0,0,0,0
14 2 speaker wire 1000 ft,0.31,0,0,1,2,0,0.5,0.31,0,0,0,0
14 4 ofc cable,0.47,0,0,1,1,0,1,0.47,0,0,0,0
14 4 speaker wire,0.43,0,0,1,34,0,0.03,0.43,0,0,0,0
14 4 speaker wire high strands,0.49,0,0,1,1,0,1,0.49,0,0,0,0
14 awg 4 conductor speaker cable 50 feet,0.49,0,0,1,1,0,1,0.49,0,0,0,0
14 awg high quality speaker wire,0.44,0,0,1,1,0,1,0.44,0,0,0,0
14 awg solid copper wire,1.27,0,0,3,44,0,0.07,0.42,0,0,0,0
14 awg speaker cable,0.5,0,0,1,13,0,0.08,0.5,0,0,0,0
14 awg speaker wire,4.3,14.61,1,11,217,3.4,0.05,0.39,0,4.3,0.09,0
14 awg stranded 2 conductor wire,0.55,0,0,1,1,0,1,0.55,0,0,0,0
14 awg stranded speaker,0.46,0,0,1,1,0,1,0.46,0,0,0,0
14 awg wire,3.7,0,0,7,425,0,0.02,0.53,0,0,0,0
14 awg wire speaker,0.44,0,0,1,1,0,1,0.44,0,0,0,0
14 awg wires,0.63,0,0,1,1,0,1,0.63,0,0,0,0
14 ga speaker wire,1.66,0,0,5,104,0,0.05,0.33,0,0,0,0
14 ga speaker wire for sale,0.41,0,0,1,3,0,0.33,0.41,0,0,0,0
14 gage double wire,0.35,0,0,1,1,0,1,0.35,0,0,0,0
14 gage pure copper speaker wire,0.72,0,0,2,2,0,1,0.36,0,0,0,0
14 gage speaker wire,0.87,19.75,1,2,28,22.7,0.07,0.44,0,0.87,0.5,0
14 gauge 2 conductor,0.46,0,0,1,2,0,0.5,0.46,0,0,0,0
14 gauge 2 conductor wire,1.79,0,0,4,63,0,0.06,0.45,0,0,0,0
14 gauge 4 wire conductor 1000ft,0.43,0,0,1,1,0,1,0.43,0,0,0,0
14 gauge awg wire,0.59,0,0,1,4,0,0.25,0.59,0,0,0,0
14 gauge electrical wire,0.64,0,0,1,24,0,0.04,0.64,0,0,0,0
14 gauge gauge stereo wire,0.43,0,0,1,1,0,1,0.43,0,0,0,0
14 gauge in wall speaker wire,0.53,0,0,2,19,0,0.11,0.26,0,0,0,0
14 gauge ofc speaker wire,1.13,0,0,3,33,0,0.09,0.38,0,0,0,0
14 gauge pure copper speaker wire,0.16,0,0,1,7,0,0.14,0.16,0,0,0,0
14 gauge solid,0.49,0,0,1,3,0,0.33,0.49,0,0,0,0
14 gauge solid copper wire,0.88,0,0,2,40,0,0.05,0.44,0,0,0,0
14 gauge solid wire,0.64,0,0,1,6,0,0.17,0.64,0,0,0,0
14 gauge speaker wire,20.89,0,0,53,1713,0,0.03,0.39,0,0,0,0
14 gauge speaker wire 100 feet,0.6,0,0,1,4,0,0.25,0.6,0,0,0,0
14 gauge speaker wire 100 ft,0.61,0,0,1,11,0,0.09,0.61,0,0,0,0
14 gauge speaker wire 1000 ft,0.82,0,0,2,9,0,0.22,0.41,0,0,0,0
14 gauge speaker wire 50 foot,0.42,0,0,1,8,0,0.13,0.42,0,0,0,0
14 gauge speaker wire 500 ft,0.46,0,0,1,18,0,0.06,0.46,0,0,0,0
14 gauge speaker wire for home theater,0.49,0,0,1,1,0,1,0.49,0,0,0,0
14 gauge speaker wore,0.39,0,0,1,1,0,1,0.39,0,0,0,0
14 gauge speakers wire,0.48,0,0,1,1,0,1,0.48,0,0,0,0
14 gauge white speaker wire,0.5,0,0,1,3,0,0.33,0.5,0,0,0,0
14 gauge wire for speakers,0.38,0,0,1,4,0,0.25,0.38,0,0,0,0
14 gauge wire solid copper,0.47,0,0,1,6,0,0.17,0.47,0,0,0,0
14 gauge wire speaker white,0.92,0,0,2,1,0,2,0.46,0,0,0,0
14 guage copper stranded speaker wire,0.45,0,0,1,2,0,0.5,0.45,0,0,0,0
14 guage speaker wire,0.41,0,0,1,5,0,0.2,0.41,0,0,0,0
14 guage speaker wire 250 feet,0.45,0,0,1,1,0,1,0.45,0,0,0,0
14 wire solid,0.45,0,0,1,1,0,1,0.45,0,0,0,0
14awg audio speakers cable,0.56,0,0,1,1,0,1,0.56,0,0,0,0
14awg bulk speaker wire,0.33,0,0,1,2,0,0.5,0.33,0,0,0,0
14awg double wire,0.5,0,0,1,1,0,1,0.5,0,0,0,0
14awg pure copper speaker wire,0.25,0,0,1,1,0,1,0.25,0,0,0,0
14awg speaker wire,0.08,0,0,1,1,0,1,0.08,0,0,0,0
14awg speaker wire,0.49,0,0,1,2,0,0.5,0.49,0,0,0,0
14g solid copper speaker,0.36,0,0,1,1,0,1,0.36,0,0,0,0
14g speaker wire 4 conductor,0.58,0,0,1,1,0,1,0.58,0,0,0,0
14ga 2 conductor wire,0.56,0,0,1,1,0,1,0.56,0,0,0,0
14ga speaker wire,0.45,0,0,1,1,0,1,0.45,0,0,0,0
14ga speaker wire denver,0.49,0,0,1,1,0,1,0.49,0,0,0,0
15 foot cat5 cable,0.44,0,0,1,8,0,0.13,0.44,0,0,0,0
150 feet of coax cable,0.38,0,0,1,2,0,0.5,0.38,0,0,0,0
150 foot antenna cable,0.42,0,0,1,1,0,1,0.42,0,0,0,0
150 foot coaxial cable,0.48,0,0,1,14,0,0.07,0.48,0,0,0,0
150 foot of cable wire,1.12,0,0,2,1,0,2,0.56,0,0,0,0
150 ft antenna cable,0.26,0,0,1,3,0,0.33,0.26,0,0,0,0
150 ft coax cable,0.42,0,0,1,7,0,0.14,0.42,0,0,0,0
150 ft coaxial cable,1.02,0,0,2,54,0,0.04,0.51,0,0,0,0
1500 feet of cat 5 cable,0.38,0,0,1,1,0,1,0.38,0,0,0,0
2 conductor 12 gauge pure speaker wire 1000,0.09,0,0,1,1,0,1,0.09,0,0,0,0
2 conductor 14 ga audio cable,0.38,0,0,1,1,0,1,0.38,0,0,0,0
2 conductor wire,1.78,0,0,3,72,0,0.04,0.59,0,0,0,0
2 copper wire,0.64,0,0,1,173,0,0.01,0.64,0,0,0,0
200 cat 5 e cable,0.41,0,0,1,1,0,1,0.41,0,0,0,0
200 feet of tv cable,0.5,0,0,1,2,0,0.5,0.5,0,0,0,0
200 feet rg6 cable,1.46,17.11,1,4,3,11.72,1.33,0.36,0,1.46,0.25,0
200 ft cable cord,0.58,0,0,1,11,0,0.09,0.58,0,0,0,0
200 ft coaxial cable,0.46,0,0,1,21,0,0.05,0.46,0,0,0,0
